country,income_cat,n,c,axfin,gamma_SP,k,fa,v,shew
Kazakhstan,nonpoor,0.8,26474.33798165314,0.1153157,1.0831030693183001,80242.08872961698,0.032160221351158605,0.12597759214313936,0.6400000000000002
Kazakhstan,poor,0.2,11714.100679576422,0.026057160000000003,0.6675877227267988,34814.63768053734,0.03498392957611385,0.43421459615058977,0.6400000000000002
Kenya,nonpoor,0.8,3456.556919567481,0.4164474000000001,1.204817190439214,7459.824753539066,0.006690690573168933,0.6,0.3200000000000001
Kenya,poor,0.2,678.8370282658753,0.13334829999999998,0.1807312382431439,1491.8227855369903,0.010948099411378327,0.6999999999999997,0.3200000000000001
Kyrgyz Republic,nonpoor,0.8,3627.241989522971,0.0561118,1.091187904640415,7051.510716384962,0.08419044378766963,0.1573663400378202,0.6400000000000002
Kyrgyz Republic,poor,0.2,1615.6908084027639,0.03731649,0.6352483814383404,2789.465046647469,0.08439677371846982,0.6695666402757435,0.6400000000000002
Lao PDR,nonpoor,0.8,6197.16244259231,0.2385275,1.2232898058414026,24859.332278475038,0.07546991797404508,0.3,0.4799999999999999
Lao PDR,poor,0.2,1937.6572596784579,0.13250879999999998,0.10684077663438842,8635.567834674774,0.06446046617967738,0.3999999999999998,0.4799999999999999
Latvia,nonpoor,0.8,27021.332277414294,0.2983719,1.0582816989349626,116592.48384331613,0.06488349240654116,0.12597759214313936,0.0
Latvia,poor,0.2,7316.474338620825,0.185183,0.766873204260149,15736.62669892617,0.052437896084236796,0.43421459615058977,0.0
Lesotho,nonpoor,0.8,3364.4074016340546,0.11368269999999997,1.2232867229656628,16877.679283109534,0.01557691427050038,0.6416008539893611,0.3200000000000001
Lesotho,poor,0.2,393.36834173078284,0.02873374,0.106853108137349,2018.1832212403745,0.014775863711277657,0.6999999999999997,0.3200000000000001
Liberia,nonpoor,0.8,916.979430933327,0.2007491,1.2208885124035396,1928.2007361996516,0.011027506197923512,0.6734349004145419,0.0
Liberia,poor,0.2,254.9889326659519,0.0449625,0.11644595038584149,589.432902485513,0.011067238408459176,0.6999999999999997,0.0
Lithuania,nonpoor,0.8,31518.847452293612,0.3604111,1.0598403648596015,105692.57012727219,0.02348112248968807,0.2625238,0.0
Lithuania,poor,0.2,8779.022223315065,0.16736099999999998,0.7606385405615929,8123.461647798374,0.02607025044617307,0.4734920000000001,0.0
Luxembourg,nonpoor,0.8,109087.92593470661,0.6614446999999999,1.1457612090995057,445072.2782582062,0.004462493999560979,0.259837,0.0
Luxembourg,poor,0.2,33146.57874323343,0.5098123999999999,0.41695516360197693,118740.24582070792,0.0047328496980476075,0.2999999999999999,0.0
"Macedonia, FYR",nonpoor,0.8,15057.657624513256,0.17958029999999994,1.101279339376685,58474.726641736976,0.02797398494389566,0.16786880000000004,0.4799999999999999
"Macedonia, FYR",poor,0.2,3431.38250062896,0.07452800999999999,0.5948826424932591,7307.0586734413655,0.02871351394431468,0.4472128,0.4799999999999999
Madagascar,nonpoor,0.8,1621.7505047161746,0.04567038,1.1936818388448873,5507.448928873481,0.04690168325133301,0.4424472127146907,0.3200000000000001
Madagascar,poor,0.2,394.29852093025056,0.01404179,0.22527264462045038,1370.1795215295615,0.04221727436899182,0.6999999999999998,0.3200000000000001
Malawi,nonpoor,0.8,1313.8298125386923,0.08640283,1.2003522506987678,5189.4943990851,0.031225336404749653,0.4424472127146907,0.6400000000000002
Malawi,poor,0.2,302.92427195498135,0.047268919999999985,0.19859099720492895,1204.717485442446,0.031440980628598576,0.6999999999999998,0.6400000000000002
Malaysia,nonpoor,0.8,30197.1047658897,0.3924174,1.1143037927274357,121025.74379374637,0.02300661794429807,0.22297463449207036,0.8
Malaysia,poor,0.2,5771.114741511192,0.255594,0.5427848290902567,20935.039098392514,0.02554342502112802,0.39486964955708176,0.8
Mali,nonpoor,0.8,2191.2998337934105,0.04243126,1.2016336739452882,3395.353827789378,0.05553920286524983,0.10000000000000003,0.4799999999999999
Mali,poor,0.2,759.0855014814075,0.008713539000000001,0.19346530421884692,1211.4103215669618,0.03086916970187007,0.6492645999999999,0.4799999999999999
Mauritania,nonpoor,0.8,4268.349521394073,0.15244010000000002,1.1741992241571746,17899.06505437673,0.04738165276513477,0.10000000000000002,0.4799999999999999
Mauritania,poor,0.2,1394.3121205635587,0.03751141,0.3032031033713019,5964.626389377038,0.052400412523368065,0.5864441499999998,0.4799999999999999
Mauritius,nonpoor,0.8,21830.48628179484,0.4367753,1.1388627827718116,74636.85053516264,0.03589187397427446,0.3,0.6000000000000002
Mauritius,poor,0.2,6998.583202027122,0.2319739,0.44454886891275297,21386.2336683498,0.03680938551884242,0.2999999999999999,0.6000000000000002
Mexico,nonpoor,0.8,19567.856580649353,0.19560479999999997,1.1318068647016508,54075.824477527356,0.007428034823711667,0.3221211,0.6400000000000002
Mexico,poor,0.2,4180.302659386589,0.07032508,0.4727725411933967,7590.275193823417,0.00711804831034605,0.6999999999999998,0.6400000000000002
Moldova,nonpoor,0.8,5351.368519004511,0.09047662,1.09209918379288,21240.782966285864,0.033477677170184184,0.4153083161363591,0.4799999999999999
Moldova,poor,0.2,2304.621267378105,0.03550953,0.6316032648284797,7400.149878163504,0.026164286152607446,0.6999999999999998,0.4799999999999999
