country,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrow_abi,avg_prod_k,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,protection,tau_tax
Slovenia,29097.342767020098,2063531.0,0.4965,0.8666666666666666,0.6916666666666667,0.2213378830398852,3,0.2,1.5,0.06,0.8,0.05,20.0,0.363120769225
South Africa,12393.2554602878,55011976.6820294,0.6480100000000001,0.7333333333333333,0.7166666666666667,0.41221819094326817,3,0.2,1.5,0.06,0.8,0.05,20.0,0.16854396487797754
Spain,32218.541815301094,46443994.0,0.7957899999999999,0.8,0.7166666666666667,0.18299929671374224,3,0.2,1.5,0.06,0.8,0.05,20.0,0.43400015081919996
Sri Lanka,11047.666972348301,20966000.0,0.18356,0.6666666666666667,0.5083333333333333,0.33796080258900235,3,0.2,1.5,0.06,0.8,0.05,20.0,0.0881789958646568
Sudan,4121.13701477156,40234882.0,0.33806,0.6666666666666667,0.3333333333333333,0.9487533644538989,3,0.2,1.5,0.06,0.8,0.05,20.0,0.059731950948692845
Swaziland,8122.049470303721,1286970.0,0.21308000000000005,0.6,0.4166666666666667,0.19038060692098577,3,0.2,1.5,0.06,0.8,0.05,20.0,0.1095257682360058
Sweden,45488.2916603657,9799186.0,0.85815,0.7333333333333333,0.9166666666666667,0.357367643802592,3,0.2,1.5,0.06,0.8,0.05,20.0,0.35733395495500003
Switzerland,56517.452441746915,8281430.0,0.7391199999999999,0.9333333333333333,1.0,0.28308540003621385,3,0.2,1.5,0.06,0.8,0.05,20.0,0.3191716832533
Tajikistan,2661.38459536755,8481855.0,0.26781999999999995,0.6,0.3333333333333333,0.3854263244630784,3,0.2,1.5,0.06,0.8,0.05,20.0,0.23601405464393807
Tanzania,2510.03566010141,53470420.0,0.31608,0.6666666666666667,0.3333333333333333,0.41320436712274966,3,0.2,1.5,0.06,0.8,0.05,20.0,0.07647908156162009
Thailand,15346.646889636999,67959359.0,0.50374,0.6666666666666667,0.7416666666666667,0.24033636299972685,3,0.2,1.5,0.06,0.8,0.05,20.0,0.271881570529146
Togo,1371.5641666474498,7304578.0,0.39964,0.2,0.25,0.3708920312086315,3,0.2,1.5,0.06,0.8,0.05,20.0,0.09408494373781558
Tunisia,10769.933249596701,11253554.0,0.66842,0.5333333333333333,0.5333333333333333,0.24926564326912068,3,0.2,1.5,0.06,0.8,0.05,20.0,0.1444306527713743
Turkey,19460.482126708503,78665830.0,0.7339699999999999,0.8666666666666666,0.6916666666666667,0.4121669094199699,3,0.2,1.5,0.06,0.8,0.05,20.0,0.20906362988786376
Uganda,1738.46249964419,39032383.0,0.16101,0.6666666666666667,0.5916666666666667,0.5735745521051661,3,0.2,1.5,0.06,0.8,0.05,20.0,0.10333029211559966
Ukraine,7456.930216514241,45154029.0,0.69695,0.0,0.05,0.2458541924399426,3,0.2,1.5,0.06,0.8,0.05,20.0,0.4058460083381293
United Kingdom,38509.2141550924,65128861.0,0.8259200000000001,0.8,0.8916666666666666,0.30312817474804055,3,0.2,1.5,0.06,0.8,0.05,20.0,0.4345068755351999
United States,52704.1988841021,321418820.0,0.8161700000000001,0.7333333333333333,0.9166666666666667,0.3187368533465751,3,0.2,1.5,0.06,0.8,0.05,20.0,0.11754
Uruguay,19952.2532456926,3431555.0,0.95311,0.6666666666666667,0.6333333333333333,0.29188665397068997,3,0.2,1.5,0.06,0.8,0.05,20.0,0.3909606737760667
Uzbekistan,5716.49592229779,31298900.0,0.36365,0.0,0.0,0.730183656731034,3,0.2,1.5,0.06,0.8,0.05,20.0,0.2437793159126027
"Venezuela, RB",16769.3267845117,31108083.0,0.8898999999999999,0.0,0.05,0.3131698078545005,3,0.2,1.5,0.06,0.8,0.05,20.0,0.10489224021170804
Vietnam,5667.410939390029,91713300.0,0.3359300000000001,0.5333333333333333,0.5916666666666667,0.2697045509948559,3,0.2,1.5,0.06,0.8,0.05,20.0,0.15104866517140553
Zambia,3602.3267560343797,16211767.0,0.40922,0.8666666666666666,0.5416666666666667,0.425750249346411,3,0.2,1.5,0.06,0.8,0.05,20.0,0.0892315784854738
Zimbabwe,1677.9696280774601,15602751.0,0.32376,0.7333333333333333,0.4166666666666667,19.14376169472781,3,0.2,1.5,0.06,0.8,0.05,20.0,0.10862134818986308
