scenario,r,eta,insu,v,proba,Keq,Kopt,K1,Weq,Wopt,W1,Weq_rel,Wopt_rel,W1_rel
100,0.04,0.5,0,0.5,0.009,64.69430585,64.62673068,64.69430585,32.05602855,32.04808446,32.68803217,0.906051554,0.92408803,1.046118851
101,0.04,0.5,0,0.5,0.01,64.69430585,64.61076391,64.69430585,32.0236814,32.01390087,32.65288403,0.905137274,0.923102365,1.044994001
102,0.04,0.5,0,0.5,0.011,64.69430585,64.59308618,64.69430585,31.99133424,31.97953317,32.61773589,0.904222993,0.922111392,1.043869151
103,0.04,0.5,0,0.5,0.012,64.69430585,64.57369465,64.69430585,31.95898709,31.94498343,32.58258775,0.903308713,0.921115171,1.042744301
104,0.04,0.5,0,0.5,0.013,64.69430585,64.55258662,64.69430585,31.92663994,31.91025374,32.5474396,0.902394433,0.92011376,1.041619451
105,0.04,0.5,0,0.5,0.014,64.69430585,64.5297603,64.69430585,31.89429279,31.87534628,32.51229146,0.901480153,0.919107224,1.040494601
106,0.04,0.5,0,0.5,0.015,64.69430585,64.50521421,64.69430585,31.86194563,31.84026325,32.47714332,0.900565873,0.918095625,1.039369751
107,0.04,0.5,0,0.5,0.02,64.69430585,64.35669732,64.69430585,31.70020987,31.66229752,32.30140261,0.895994473,0.912964086,1.033745501
108,0.04,0.5,0,0.5,0.025,64.69430585,64.16540432,64.69430585,31.5384741,31.48031307,32.1256619,0.891423072,0.907716669,1.028121251
109,0.04,0.5,0,0.5,0.03,64.69430585,63.93194854,64.69430585,31.37673834,31.29465331,31.94992119,0.886851672,0.902363277,1.022497001
110,0.04,0.5,0,0.5,0.035,64.69430585,63.65734196,64.69430585,31.21500257,31.10568877,31.77418048,0.882280272,0.896914593,1.01687275
111,0.04,0.5,0,0.5,0.04,64.69430585,63.34297082,64.69430585,31.05326681,30.91381097,31.59843977,0.877708871,0.891381908,1.0112485
