country,gdp_pc_pp,pop,share1,urbanization_rate,axfin_p,axfin_r,social_p,social_r
Ireland,61378.3602470376,4643740.0,0.07730000000000001,0.63241,0.40051929999999997,0.5566726999999999,,
Isle of Man,,87780.0,,0.52203,,,,
Israel,31970.688886925298,8380100.0,0.0461,0.9214,0.4204639,0.6097891,,
Italy,34219.7614863179,60730582.0,0.0623,0.68964,0.20171340000000001,0.44066890000000003,,
Jamaica,8333.484528244351,2793335.0,0.0528,0.54788,0.2147204,0.3520919,0.266518589381954,0.1474314747293658
Japan,37872.4617740679,126958472.0,0.0737,0.9349799999999999,0.5732915,0.6250877,,
Jordan,10239.664298293499,7594547.0,,0.83679,0.01797048,0.05062747,0.24754125076743594,0.20254922683467025
Kazakhstan,23522.2905212378,17544126.0,0.09960000000000001,0.53247,0.026057160000000003,0.11531570000000001,0.06564464499053319,0.04712426534917984
Kenya,2901.01294130716,46050302.0,0.046799999999999994,0.25622,0.13334829999999998,0.4164474000000001,0.05486851859573319,0.07183448406098354
Kiribati,1873.49696861617,112423.0,0.0616,0.44303999999999993,,,0.09093071149088224,0.08778566916243413
"Korea, Dem. People’s Rep.",,25155317.0,,0.60875,,,,
"Korea, Rep.",34386.5748822246,50617045.0,,0.8247399999999999,0.36338929999999997,0.6404361999999999,,
Kosovo,9142.14803219792,1801800.0,0.09390000000000001,,0.049330530000000004,0.08574953,0.3631877926500793,0.1683102401242562
